Control Points, Method, Time (s)
0,b1,  0.00000000
0,b2,  0.00000000
0,b3,  0.00000000
10000,b1,  0.00080000
10000,b2,  0.00020000
10000,b3,  0.00020000
20000,b1,  0.00025000
20000,b2,  0.00035000
20000,b3,  0.00035000
30000,b1,  0.00025000
30000,b2,  0.00045000
30000,b3,  0.00060000
40000,b1,  0.00035000
40000,b2,  0.00065000
40000,b3,  0.00080000
50000,b1,  0.00045000
50000,b2,  0.00080000
50000,b3,  0.00095000
60000,b1,  0.00055000
60000,b2,  0.00090000
60000,b3,  0.00120000
70000,b1,  0.00065000
70000,b2,  0.00105000
70000,b3,  0.00135000
80000,b1,  0.00075000
80000,b2,  0.00125000
80000,b3,  0.00165000
90000,b1,  0.00080000
90000,b2,  0.00135000
90000,b3,  0.00180000
100000,b1,  0.00090000
100000,b2,  0.00145000
100000,b3,  0.00160000
110000,b1,  0.00095000
110000,b2,  0.00170000
110000,b3,  0.00150000
120000,b1,  0.00105000
120000,b2,  0.00180000
120000,b3,  0.00165000
130000,b1,  0.00110000
130000,b2,  0.00205000
130000,b3,  0.00190000
140000,b1,  0.00120000
140000,b2,  0.00215000
140000,b3,  0.00240000
150000,b1,  0.00130000
150000,b2,  0.00240000
150000,b3,  0.00205000
160000,b1,  0.00140000
160000,b2,  0.00275000
160000,b3,  0.00245000
170000,b1,  0.00145000
170000,b2,  0.00265000
170000,b3,  0.00240000
180000,b1,  0.00155000
180000,b2,  0.00280000
180000,b3,  0.00295000
190000,b1,  0.00170000
190000,b2,  0.00295000
190000,b3,  0.00295000
200000,b1,  0.00170000
200000,b2,  0.00310000
200000,b3,  0.00335000
210000,b1,  0.00180000
210000,b2,  0.00320000
210000,b3,  0.00290000
220000,b1,  0.00185000
220000,b2,  0.00350000
220000,b3,  0.00410000
230000,b1,  0.00270000
230000,b2,  0.00350000
230000,b3,  0.00380000
240000,b1,  0.00200000
240000,b2,  0.00385000
240000,b3,  0.00370000
250000,b1,  0.00205000
250000,b2,  0.00415000
250000,b3,  0.00340000
260000,b1,  0.00215000
260000,b2,  0.00410000
260000,b3,  0.00365000
270000,b1,  0.00230000
270000,b2,  0.00465000
270000,b3,  0.00485000
280000,b1,  0.00235000
280000,b2,  0.00435000
280000,b3,  0.00455000
290000,b1,  0.00240000
290000,b2,  0.00450000
290000,b3,  0.00475000
300000,b1,  0.00250000
300000,b2,  0.00490000
300000,b3,  0.00500000
310000,b1,  0.00255000
310000,b2,  0.00485000
310000,b3,  0.00505000
320000,b1,  0.00330000
320000,b2,  0.00735000
320000,b3,  0.00575000
330000,b1,  0.00275000
330000,b2,  0.00565000
330000,b3,  0.00500000
340000,b1,  0.00280000
340000,b2,  0.00565000
340000,b3,  0.00490000
350000,b1,  0.00295000
350000,b2,  0.00585000
350000,b3,  0.00510000
360000,b1,  0.00295000
360000,b2,  0.00600000
360000,b3,  0.00525000
370000,b1,  0.00255000
370000,b2,  0.00610000
370000,b3,  0.00535000
380000,b1,  0.00310000
380000,b2,  0.00635000
380000,b3,  0.00560000
390000,b1,  0.00320000
390000,b2,  0.00645000
390000,b3,  0.00600000
400000,b1,  0.00425000
400000,b2,  0.00680000
400000,b3,  0.00670000
410000,b1,  0.00335000
410000,b2,  0.00655000
410000,b3,  0.00665000
420000,b1,  0.00345000
420000,b2,  0.00690000
420000,b3,  0.00680000
430000,b1,  0.00355000
430000,b2,  0.00710000
430000,b3,  0.00690000
440000,b1,  0.00360000
440000,b2,  0.00715000
440000,b3,  0.00700000
450000,b1,  0.00385000
450000,b2,  0.00745000
450000,b3,  0.00695000
460000,b1,  0.00505000
460000,b2,  0.00765000
460000,b3,  0.00700000
470000,b1,  0.00395000
470000,b2,  0.00780000
470000,b3,  0.00690000
480000,b1,  0.00395000
480000,b2,  0.00870000
480000,b3,  0.00780000
490000,b1,  0.00390000
490000,b2,  0.00860000
490000,b3,  0.00745000
500000,b1,  0.00410000
500000,b2,  0.00815000
500000,b3,  0.00790000
510000,b1,  0.00415000
510000,b2,  0.00855000
510000,b3,  0.00850000
520000,b1,  0.00460000
520000,b2,  0.00855000
520000,b3,  0.00825000
530000,b1,  0.00435000
530000,b2,  0.00865000
530000,b3,  0.00845000
540000,b1,  0.00445000
540000,b2,  0.00885000
540000,b3,  0.00855000
550000,b1,  0.00450000
550000,b2,  0.00900000
550000,b3,  0.00870000
560000,b1,  0.00465000
560000,b2,  0.00965000
560000,b3,  0.00930000
570000,b1,  0.00515000
570000,b2,  0.00955000
570000,b3,  0.00910000
580000,b1,  0.00480000
580000,b2,  0.00965000
580000,b3,  0.00915000
590000,b1,  0.00485000
590000,b2,  0.00970000
590000,b3,  0.00930000
600000,b1,  0.00510000
600000,b2,  0.01010000
600000,b3,  0.00895000
610000,b1,  0.00515000
610000,b2,  0.01020000
610000,b3,  0.00975000
620000,b1,  0.00570000
620000,b2,  0.01045000
620000,b3,  0.01085000
630000,b1,  0.00520000
630000,b2,  0.01060000
630000,b3,  0.00950000
640000,b1,  0.00545000
640000,b2,  0.01275000
640000,b3,  0.01115000
650000,b1,  0.00550000
650000,b2,  0.01065000
650000,b3,  0.01025000
