Control Points,Method,Time (s)
0,b1,  0.00000000
0,b2,  0.00000000
0,b3,  0.00000000
10000,b1,  0.00015000
10000,b2,  0.00020000
10000,b3,  0.00025000
20000,b1,  0.00020000
20000,b2,  0.00040000
20000,b3,  0.00045000
30000,b1,  0.00035000
30000,b2,  0.00055000
30000,b3,  0.00060000
40000,b1,  0.00045000
40000,b2,  0.00070000
40000,b3,  0.00080000
50000,b1,  0.00050000
50000,b2,  0.00100000
50000,b3,  0.00100000
60000,b1,  0.00060000
60000,b2,  0.00110000
60000,b3,  0.00115000
70000,b1,  0.00065000
70000,b2,  0.00125000
70000,b3,  0.00135000
80000,b1,  0.00075000
80000,b2,  0.00155000
80000,b3,  0.00155000
90000,b1,  0.00085000
90000,b2,  0.00165000
90000,b3,  0.00180000
100000,b1,  0.00090000
100000,b2,  0.00190000
100000,b3,  0.00195000
110000,b1,  0.00105000
110000,b2,  0.00205000
110000,b3,  0.00245000
120000,b1,  0.00115000
120000,b2,  0.00230000
120000,b3,  0.00240000
130000,b1,  0.00115000
130000,b2,  0.00240000
130000,b3,  0.00260000
140000,b1,  0.00130000
140000,b2,  0.00325000
140000,b3,  0.00385000
150000,b1,  0.00135000
150000,b2,  0.00310000
150000,b3,  0.00345000
160000,b1,  0.00140000
160000,b2,  0.00350000
160000,b3,  0.00385000
170000,b1,  0.00150000
170000,b2,  0.00340000
170000,b3,  0.00395000
180000,b1,  0.00155000
180000,b2,  0.00365000
180000,b3,  0.00420000
190000,b1,  0.00165000
190000,b2,  0.00380000
190000,b3,  0.00445000
200000,b1,  0.00175000
200000,b2,  0.00400000
200000,b3,  0.00470000
210000,b1,  0.00180000
210000,b2,  0.00420000
210000,b3,  0.00495000
220000,b1,  0.00190000
220000,b2,  0.00440000
220000,b3,  0.00520000
230000,b1,  0.00195000
230000,b2,  0.00485000
230000,b3,  0.00690000
240000,b1,  0.00215000
240000,b2,  0.00555000
240000,b3,  0.00610000
250000,b1,  0.00215000
250000,b2,  0.00530000
250000,b3,  0.00615000
260000,b1,  0.00220000
260000,b2,  0.00540000
260000,b3,  0.00645000
270000,b1,  0.00225000
270000,b2,  0.00560000
270000,b3,  0.00670000
280000,b1,  0.00235000
280000,b2,  0.00595000
280000,b3,  0.00660000
290000,b1,  0.00245000
290000,b2,  0.00585000
290000,b3,  0.00765000
300000,b1,  0.00265000
300000,b2,  0.00590000
300000,b3,  0.00715000
310000,b1,  0.00265000
310000,b2,  0.00655000
310000,b3,  0.00660000
320000,b1,  0.00280000
320000,b2,  0.00780000
320000,b3,  0.00690000
330000,b1,  0.00285000
330000,b2,  0.00670000
330000,b3,  0.00710000
340000,b1,  0.00295000
340000,b2,  0.00765000
340000,b3,  0.00725000
350000,b1,  0.00305000
350000,b2,  0.00725000
350000,b3,  0.00760000
360000,b1,  0.00290000
360000,b2,  0.00730000
360000,b3,  0.00790000
370000,b1,  0.00320000
370000,b2,  0.00765000
370000,b3,  0.00785000
380000,b1,  0.00330000
380000,b2,  0.00775000
380000,b3,  0.00805000
390000,b1,  0.00335000
390000,b2,  0.00945000
390000,b3,  0.00880000
400000,b1,  0.00350000
400000,b2,  0.00875000
400000,b3,  0.00980000
410000,b1,  0.00365000
410000,b2,  0.00915000
410000,b3,  0.01055000
420000,b1,  0.00350000
420000,b2,  0.00905000
420000,b3,  0.01025000
430000,b1,  0.00350000
430000,b2,  0.00915000
430000,b3,  0.01455000
440000,b1,  0.00735000
440000,b2,  0.01080000
440000,b3,  0.01540000
450000,b1,  0.00620000
450000,b2,  0.01390000
450000,b3,  0.01520000
460000,b1,  0.00690000
460000,b2,  0.01210000
460000,b3,  0.01550000
470000,b1,  0.00710000
470000,b2,  0.01740000
470000,b3,  0.01700000
480000,b1,  0.00650000
480000,b2,  0.01410000
480000,b3,  0.01735000
490000,b1,  0.00660000
490000,b2,  0.01320000
490000,b3,  0.01665000
500000,b1,  0.00715000
500000,b2,  0.01370000
500000,b3,  0.02005000
510000,b1,  0.00775000
510000,b2,  0.01335000
510000,b3,  0.01850000
520000,b1,  0.00770000
520000,b2,  0.01675000
520000,b3,  0.01820000
530000,b1,  0.00800000
530000,b2,  0.01505000
530000,b3,  0.01805000
540000,b1,  0.00815000
540000,b2,  0.01395000
540000,b3,  0.01920000
550000,b1,  0.00855000
550000,b2,  0.01405000
550000,b3,  0.02015000
560000,b1,  0.00855000
560000,b2,  0.02310000
560000,b3,  0.01845000
570000,b1,  0.00810000
570000,b2,  0.01410000
570000,b3,  0.01940000
580000,b1,  0.00865000
580000,b2,  0.02035000
580000,b3,  0.02160000
590000,b1,  0.00885000
590000,b2,  0.01705000
590000,b3,  0.02250000
600000,b1,  0.01135000
600000,b2,  0.02120000
600000,b3,  0.02505000
610000,b1,  0.01015000
610000,b2,  0.02325000
610000,b3,  0.02990000
620000,b1,  0.01160000
620000,b2,  0.02420000
620000,b3,  0.02910000
630000,b1,  0.01190000
630000,b2,  0.02410000
630000,b3,  0.02355000
640000,b1,  0.01060000
640000,b2,  0.02330000
640000,b3,  0.02300000
650000,b1,  0.01115000
650000,b2,  0.01790000
650000,b3,  0.02245000
